,text,date,name,profile_link,helpful_votes,reviews_count,hearts,idea_lists,rank
15,The phone looked great and had no visible damage. My so was so excited to get this after having saved for MONTHS to purchase it. Imagine his devastation when it stopped working after less than two weeks. This was such a disappointing transaction. but kudos to Amazon for promptly handling it!," June 5, 2018",veronica lee,https://www.amazon.com/gp/profile/amzn1.account.AHFZUGMZSKBXTCGGYLZI5PKJOLBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,90,16,0,0,1189454
16,"Bought 2 phones (same) Beautiful condition. One with a screen protector in place, the other without.Problem. Not for US market. Japanese phone.  Not a problem, except... Can't get a battery change in USA. Apple store said they are grey market, and somehow locked to AT+T despite being from another country. Can't silence the camera (ever)- so unable to use social media selfies- important to the kids- not a big deal for me, but makes the phones not useable at their school.Attempting a return through the vendor."," August 10, 2018",Suzanne Griffin,https://www.amazon.com/gp/profile/amzn1.account.AEGEJ7UNRNM54QBOGWHYMCAPZC3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,64,10,0,0,1224459
17,"This phone looks and performs like it's brand new. Not one scratch. The phone came with a screen protector and a charger. I was surprised as other reviews said they did not get one. For $269, I feel like this was a steal, compared to other listings. Hopefully nothing goes wrong with the phone later. But with the Amazon 90 day guarantee I'm a little more at ease. Never bought a refurbished phone before. Not sure what to expect. As far as my order, I am happy with it."," January 30, 2019",paul samsotha,https://www.amazon.com/gp/profile/amzn1.account.AGYQ5OJBEONP7TYHQG5AD6NUOFFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,46,10,0,0,2087418
18,"This was a great buy for me. The phone come in an apple package, but was still wonderfully packaged. Nice clean white box, with a third party charger, sim slot opener, even a case and a screen saver. Since using it I haven’t had any issues, works like brand new. This was a great buy and I’d seriously purchase again."," May 13, 2018",Andre F,https://www.amazon.com/gp/profile/amzn1.account.AFPM3P2VQZTG7BBWK76TFNHFQPMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,51,3,0,0,6493121
19,"This phone IS NOT compatible with Verizon.  Verizon tested the phone and explained to me that only some fully unlocked  phones work with their network and there is no way to tell which one is compatible unless you go to the verizon web site and enter one of three codes listed in your settings/general/about.  (IMEI, ICCID, or MEID code).  This can't be done unless you buy the phone first, not what you want to do.  Seller should change the description of the phone on Amazon to indicate the phone is unlikely to work with Verizon even though it is Fully Unlocked.  Web site description is misleading."," December 31, 2018",Timothy Barnard,https://www.amazon.com/gp/profile/amzn1.account.AE5JH5RX6JLYMUL7YDMO5SQKE37Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,38,4,0,0,2252317
20,"My phone arrived in great condition.  There are no scratches on the glass, and there is no visible wear and tear on the case.  It works perfectly.  I inserted my carrier-provided SIM card in the SIM tray and it was immediately available on AT&T's network.A SIM tray key was included in the box along with protective plastic covers for the screen.  A charging cable and standard outlet plug were also included in the box.This version of the iPhone does not have a headphone jack.  I did not receive a headphone insert in the box, but (#1) I don't need one as all of my headphones are Bluetooth and (#2) I don't know if Apple included this in the original packaging so this is just a courtesy note for potential buyers of the iPhone 7, not a complaint.The seller contacted me after I received my phone to make sure I was happy with the purchase and I am."," December 3, 2017",Shesdangerous,https://www.amazon.com/gp/profile/amzn1.account.AHKSLC2XZYCDZVJYY43TU35P6ZNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,172,59,0,0,475094
21,"I bought this for my grandma since she needed an upgrade (she had the iPhone 5) this was the best price and value I could fine. When I got it, it looked brand new no scratches no issues whatsoever. All I had to do was switch over the SIM cards and just back up her old phone to her computer then just transfer everything to this phone. She absolutely loves it. Incase anyone wants to know it comes with a new charger and wall plug and a SIM card removal tool and that is it no headphones. Those are sold separately with this unless you purchase straight from Apple.  Only buy this phone if you have AT&T and this phone can’t be used for other carries it specifically says in a note card that comes with the phone"," December 14, 2018",Chris,https://www.amazon.com/gp/profile/amzn1.account.AEO4ZD5NKKMNJQH3VEJ6BJSOIONQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,77,63,0,0,301891
22,"This is an amazing iPhone 7. Certified refurbished unlocked Verizon phone. Almost perfect condition - just a tiny scratch on the bottom outer corner of the phone case, which is covered up with my clear protective case. Took it to my Verizon store, they added a SIM card, and it was up and running within minutes. 1/2 the price of a new phone! I am very satisfied and pleased with this purchase!"," June 29, 2018",Madeleine,https://www.amazon.com/gp/profile/amzn1.account.AGPINSQLFCMRSTDGNHSDHIIVVBTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,45,27,0,0,1950386
23,"so far so good, my SIM card did work when i put it in. Was texting people as expected. i was worried at first seeing the older reviews but as far as i can tell (first day, first impression) buySPRY gave me a well working, Apple iPhone.touch ID worksspeaker workscameras both workmicrophone worksi tested everything i figured could be a problem. happy so far!came with screen protector on it, SIM tool and a charging cable."," September 6, 2018",Stanley,https://www.amazon.com/gp/profile/amzn1.account.AEFB7B5IZO6RLG546YDBZXNN4SJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,36,2,0,0,9118537
24,"At first I noticed the phone's touch screen didn't work as well as my iPhone 6. Calibration was a little off, sometimes dead spots. I thought maybe it was a quirk of having a lot of apps transferred over so I just lived with it. Then I dropped it once, not a big drop. The screen didn't break, but afterwards the vibration became unacceptably loud. Then the second time I dropped it the screen cracked. Seeing as this was the result of my own clumsiness I ordered a new screen and vibration unit and went to work repairing it. When I opened it I noticed a screw was missing on the existing vibration unit. It became apparent this phone wasn't just a repackaged return, it had significant and sloppy repairs done to it.After that I wound up getting a brand new phone of the exact same specs, iPhone 7 128G and it is like night and day! The brand new phone only cost $100 more than this piece of junk. I will never buy another refurbished phone again."," November 16, 2018",Stephen Harris,https://www.amazon.com/gp/profile/amzn1.account.AEW4EHB54LADQLOSMXJMV6CWCNPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,27,2,0,0,6327208
25,"This phone was not as described at all. When I went looking for a fully unlocked iPhone 7, I was specifically looking for an A1660 model, and that’s what the page said. When I recieved the phone it worked fine at first, but later in the evening when I was adjusting the audio from the phone, I couldn’t mute the shutter - no matter what I tried. I did some googling, and one suggestion on an apple forum said that Japan & Korean model phones cannot mute the shutter sound. They have privacy laws in those countries, due to excess upskirt photos. I went into the about setting in the phone and saw that the model number ended in J/A, a Japan model phone. Here in the US having your shutter noise not muted is socially unacceptable. I think it is dishonest advertising on their part, obviously a Japan model phone is going to be cheaper, because nobody wants that extra restriction, and they were charging just as much as other iPhones that were completely unlocked. The whole experience was awful."," February 8, 2019",Olivia,https://www.amazon.com/gp/profile/amzn1.account.AGEFTKGINJ2CLKP4GNVXRLFDNTHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,27,4,0,1,2681628
26,We purchased two new iPhones from this company.  One for my husband has been fine.  The one for my daughter will not function.  When we set up the iPhone we got the message “Critical Update Failed”.  After numerous calls to Apple we got the phone to work for 20 minutes before she got the same lCritcal update Failed” message.  Apple then told us to call our service carrier.  AT&T had us bring the iPhone in and they put a new SIM card in the phone.  Everything worked fine for 5 days.  Now she gets the “Critical Update Failed” message again.," January 16, 2019",Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AEMBBDZIDRR36L5GFGQYUSNVGV4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,37,2,0,0,77397958
27,"I bought this phone to be use out of The States because it says fully unlocked. Well, is not fully unlocked and the battery doesn’t work. I could not have a full battery. Every time I charged the phone it last less tha 15 minuets. I had to pay the international shipping and the a domestic shipping to return it. The worse experience ever."," July 23, 2018",Paulina Faundez,https://www.amazon.com/gp/profile/amzn1.account.AF3MWCEP6EPOEWHBTBP5YDUVTD7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,33,17,0,0,1405575
28,"I've learned my lesson not to trust the 1-star reviews on products like this, because this phone is AMAZING!!! I received it earlier than expected and it came with an Apple charging cable/block as well as the phone. The phone itself is in pretty good condition, it had a little bit of dustiness around the camera (as if it had a case on before) and there are a few light scratches around the top and bottom edges, but I don't think that matters much since my case covers it just fine (plus it's black so like... who cares). The phone also came with a glass screen protector already on it, which was awesome! The screen is great, volume works fine, all the buttons work, makes calls fine, runs all the apps I need it to (twitter, facebook, outlook, chrome, etc.) I saw a couple reviews complaining that this phone was bad because it didn't work on Verizon, but the listing outright SAYS it doesn't work with Verizon, it doesn't work with CDMA networks, of which Verizon is one. I have AT&T and this phone works perfectly on my network.Anyways, if you're on the fence, I say go for it! Even if you get a dud, it's backed by Amazon so you can return it. It's a win either way!"," December 4, 2019",Hillary,https://www.amazon.com/gp/profile/amzn1.account.AG5VNM763M35TFOHJBBVWICGQLXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,129,31,0,0,198596
29,"So I bought this phone because it was Verizon compatible. I live a very busy lifestyle and I put a screen protector on it and put it in a great case to take care of it. My current phone was still working and I was having a little bit of trouble switching it to be my main phone. No worries, the phone is in great condition and I can't get to the Verizon store anytime soon... I'll wait to make it my main phone. ... Well it turns out the phone DOESNT work with Verizon. So I sent it back... they accepted it, but I only got 189 of the 289 I paid for the phone."," April 1, 2019",Gibson,https://www.amazon.com/gp/profile/amzn1.account.AGKCJXH6DXUTXR6JQALA252QSSJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,21,6,0,0,4300730
30,"The refurbished iPhone 7 I ordered for my wife for mother's day was defective. I spent a lot of effort to back up her information and transfer to the new phone, even installed tempered screen protectors, go through the set up process with iPhone, only to discover no signal/service available. i switched sim cards several times and it worked well with my previous iPhones. The unit is defective. I thought refurbished was checked and were good as new. The seller only replied to get my order number and didn't reply again (or is taking too long). I'm not waiting for your reply, I'm just returning everything."," May 15, 2017",caloyshopper,https://www.amazon.com/gp/profile/amzn1.account.AH3FF6J6FITDXW5K4TAZB3ML7TFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,216,2,0,0,6735809
31,The phone arrived on time.  It was in like new condition.  The battery life is much better than the iPhone 6 it replaces.  The only problem I had was updating the OS.  Somehow my facetime and siri were removed by the update to version 12.  It took the geniuses at the iPhone store 2 hours to figure it out.  I was kicked around like a soccer ball until one of the staff figured it out.," November 6, 2018",Paul,https://www.amazon.com/gp/profile/amzn1.account.AGXUAK5JJ25TSCUHJVGJPH32XXKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,22,6,0,0,6736251
32,"I recently purchased this item and recipe edit in good condition. Everything on it worked great for the first 10 hours or so. I woke up the next morning and it couldn't not connect to any network no matter what. Then when I tried to update the device it failed halway through and got stuck in a ""safe mode"" in which I couldn't use it in any way. I returned it and currently waiting on my refund they didn't seem to concerned with the fact that they sent a product that did not work and it just seemed like regular business to them. Do not recommend"," September 11, 2018",corben pierce,https://www.amazon.com/gp/profile/amzn1.account.AHWCRZTLWFJ2XHMA54KBMSH2ITQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,26,4,0,0,77238417
33,"After 2 months the phone began to have trouble receiving and making calls and texts.  At the same time, the call quality worsened.  Both problems were hit or miss - sometimes not present, other times fairly consistent.  In communicating with Prime Mobility, I was told to ""bare with me while management approves a resolution/return"".  I haven't heard anything since. Cannot recommend the phone nor the seller."," May 28, 2018",Bill Gibson,https://www.amazon.com/gp/profile/amzn1.account.AHBBHEJZ3NDWEUJ56RQBXPKGXLSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,42,9,0,0,2202724
34,"When I brought the phone to T-Mobile it was locked because the previous owner had debt and still owed money on it.  T Mobile said there was nothing they could do but it was a useless phone for me.  I had to repackage it, go to UPS and ship it back and I had no present for my daughter for her bday.  Very dissapointed."," February 26, 2018",nicole hanemann,https://www.amazon.com/gp/profile/amzn1.account.AG2U4EINW2MQZNK4UUMHD6FMZUYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,25,1,0,0,12148795
35,"I actually never write reviews. I am a business owner and I know what it feels like to have a bad review posted. That being said I want to warn the consumer.I ordered the phone it being factory refurbished I new it was risky but, the savings was enough to consider. The phone worked for a total of two days. Then began to shut of and continue restarting and then saying on for about 1 second and shutting down again. I then had to go a verizon store and just get a phone because I needed a phone by that time...Hear is the biggest hassle to return the phone you have to take Iphone cloud off. I couldn't do that because my phone wouldn't turn on. I called them and they sent me a link. I had to login and switch the phone to no longer in use. For most people that may not be a problem. I'm not very tech savy so again it was just more of a hassle.The company did have amazing customer service they picked up right away. That why this isn't a 1 star. They also had an easy solution to turning the Iphone  cloud off."," July 8, 2018",John,https://www.amazon.com/gp/profile/amzn1.account.AGMICTXNCEUBVSZK7456ZOLOJARA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,35,28,0,2,792704
36,"Purchased this refurbished phone to replace my Iphone 6, only to have it freeze up every few seconds using it.  Had to hit sleep button, resign in, and continue what I was doing, but this happened way to much and found extremely annoying.  I was unable to return it, because I waiting to long to activate it.  So, I had the front screen replaced, and everything worked fine.  I agree with other people, that if you are selling refurbished products, it should be fully tested, before selling for over $400.  Very annoying."," June 24, 2018",Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFSPTYAY5LC4QJSMHIJN7I6CWWOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,20,10,0,0,3808124
37,"My husband bought me a phone for my birthday and had it 2-3 weeks before he gave it to me. When I got it the screen was so sensitive when making a phone call that my hair made it beep and sound like it was dialing. I had to use the speaker setting in order to make calls.The screen also had several dead spots on it. I tried using the phone for 2 weeks and couldn’t make it work. When we contacted the seller they wanted to replace it. However, I had already bought a new phone and wanted a refund. Even though their motto is something about customer service they refused to refund our money since it was over 30 days. I told them it was a gift that hadn’t been opened for a couple of weeks and they didn’t care. They absolutely refused to refund the money even though there were several emails back and forth.I also had to spend $20 to send the malfunctioning one back and today I got another phone in the mail that I do not want."," November 29, 2018",Matt,https://www.amazon.com/gp/profile/amzn1.account.AG6I44E7ORWEBT4OHIPV23WVWJ5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,38,16,0,0,6433414
38,"Ordered an unlocked 128gb iPhone 7, looks great with no scratches at all, there is a VERY small bump on the back but you can NOT notice it. Everything works great as it should. The only reason I gave this a 4 and not a 5 is because the battery health is at 85% though it says there's nothing wrong with it. Either way for the price, I got what I needed and it was a great buy. I would recommend this instead of paying close to $500 for a new one."," January 30, 2019",brian,https://www.amazon.com/gp/profile/amzn1.account.AGVX6CXIQU32FCLMF5DQSUF2Z2FA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,18,5,0,0,3481808
39,"My old iPhone SE was losing it's battery charge way too fast and not liking many chargers, so it was time to get a new one.  I don't use my phone enough that I really wanted a brand new iPhone, so getting the refurbished phone was perfect for me.  I've had it for about two months now and it works fine.  It was fully unlocked, so I could use my Mexican sim card without a problem.  There was one time it went wonk, but just resetting the phone fixed everything right away.The phone came in great condition with a screen protector.  The charger is definitely not the apple one, but it serves it's function.  No headphones came with the phone, but I have my old apple headphones and they weren't advertised, so it didn't bug me.I would recommend this phone for casual phone users who are stuck with iPhone because of all the apps and media you already have."," August 5, 2019",Susan Rogers,https://www.amazon.com/gp/profile/amzn1.account.AHSWXAVABUEPNTMSXW7DD5YAKIOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,185,69,0,0,580435
40,"Overall, the phone seems in great condition. However a few things I realized afterward: the price is only around $50 lower than a brand new iPhone 7and it doesn’t come with earbuds or a dongle. It didn’t even come with an official apple charger. It was some offbrand charger. I somewhat blame myself for not doing more research on the matter, but in the end I was not satisfied with this purchase and would recommend trying to find a more inexpensive option or just buying the brand new iPhone 7."," August 24, 2018",Winfield Oestreich,https://www.amazon.com/gp/profile/amzn1.account.AGKX56AGYQZZBNJNREMQ7KLWF5RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,21,3,0,0,6810552
41,"I'm so happy, I have been long overdue for a new phone. The price was too good to pass up. The phone came perfectly packaged in the protective wrapping. It even comes with a MFI certified charger! I would rather it have came with the headphone/charger adapter but oh well. Was super easy to set up and swap out my old phone. I'm hoping it continues to work properly because I usually don't get new phones often so this will have to last me quite a while."," September 16, 2017",Ronnie,https://www.amazon.com/gp/profile/amzn1.account.AFXNBQSMJZSMQBX6T7AMPS26D2YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,173,60,0,1,105582
